lugar_de_residencia,poblacion_miles,confirmados_pdia_14_dias
Alamedilla,0.569,0
Albuñán,0.409,0
Aldeire,0.63,0
Alicún de Ortega,0.471,0
Alquife,0.58,0
Baza,20.43,27
Beas de Guadix,0.329,0
Benalúa,3.31,11
Benamaurel,2.26,4
Calahorra (La),0.668,0
Caniles,4.021,1
Castilléjar,1.321,1
Castril,2.02,0
Cogollos de Guadix,0.642,17
Cortes de Baza,1.844,22
Cortes y Graena,0.982,2
Cuevas del Campo,1.744,6
Cúllar,4.091,23
Darro,1.634,4
Dehesas de Guadix,0.422,1
Diezma,0.764,1
Dólar,0.628,4
Ferreira,0.301,0
Fonelas,0.978,1
Freila,0.939,0
Galera,1.071,0
Gor,0.744,1
Gorafe,0.383,0
Guadix,18.436,39
Huélago,0.401,0
Huéneja,1.17,3
Huéscar,7.195,2
Jérez del Marquesado,0.955,0
Lanteira,0.564,0
Lugros,0.31,0
Marchal,0.414,0
Morelábor,0.572,0
Orce,1.185,0
Pedro Martínez,1.138,1
Peza (La),1.167,8
Polícar,0.263,0
Puebla de Don Fadrique,2.238,0
Purullena,2.306,29
Valle del Zalabí,2.105,1
Villanueva de las Torres,0.562,0
Zújar,2.544,15
